Measurement_number,Point_X,Point_Y,QR_Top_Left_X,QR_Top_Left_Y,Pixel_Focal_Length_X,Angular_Error_Yaw_Asset,Angular_Error_Yaw_QR,Angular_Error_Yaw_Total
100,-147,1,-133,-40,1482.811,-5.6615775270825965,-5.125401273934249,-0.5361762531483478
101,-148,10,-132,-39,1482.811,-5.699838966152538,-5.087067264104375,-0.6127717020481631
102,-157,17,-132,-41,1482.811,-6.043957556916121,-5.087067264104375,-0.956890292811746
103,-144,11,-121,-39,1482.811,-5.546762900908328,-4.665100738501926,-0.8816621624064016
104,-127,8,-117,-34,1482.811,-4.895329766836954,-4.511529911429713,-0.3837998554072408
105,-145,40,-131,-27,1482.811,-5.58503928101708,-5.048728558519447,-0.5363107224976327
106,-141,35,-132,-24,1482.811,-5.431903451617631,-5.087067264104375,-0.3448361875132564
107,-139,50,-132,-19,1482.811,-5.355306722057347,-5.087067264104375,-0.2682394579529719
108,-132,58,-124,-15,1482.811,-5.087067264104375,-4.780234676019892,-0.3068325880844833
109,-112,78,-113,-4,1482.811,-4.31947523725271,-4.357894197560385,0.03841896030767522
110,-133,90,-121,1,1482.811,-5.125401273934249,-4.665100738501926,-0.46030053543232263
